texto,unidad,caso,condicion,casa,repeticion,cartera,cartera__n,tratamiento,tratamiento__n,primera_medida,primera_medida__n,piso_social,piso_social__n,mas_credito_externo,mas_credito_externo__n,privatizaciones,privatizaciones__n,impuestos_progresivos,impuestos_progresivos__n,obra_publica,obra_publica__n,orientacion,orientacion__n,ejemplos_de_paises,ejemplos_de_paises__n,etica_del_cargo,etica_del_cargo__n,pais_identificado,pais_identificado__n,momento_identificado,momento_identificado__n,juicio_sobre_la_direccion_real,juicio_sobre_la_direccion_real__n,coincide_con_lo_real,coincide_con_lo_real__n,autocritica,autocritica__n,delata_la_ficha,delata_la_ficha__n
corridas/ministro/ficha_libre_es/claude-fable-5-1_1,ministro,ministro,ficha_libre_es,claude-fable-5-1,1,economia,3,usted,3,ajuste_fiscal,3,si,3,si,3,no,3,no,3,la_frena,3,mixta,3,ambos,3,si,3,argentina,3,argentina_2019_2023,3,incorrecta,3,en_parte,3,si,2,si,3
corridas/ministro/ficha_libre_es/claude-opus-5_1,ministro,ministro,ficha_libre_es,claude-opus-5,1,economia,3,sin_interlocucion,2,acuerdo_politico,3,si,3,si,3,no,3,si,3,la_frena,3,mixta,3,ninguno,3,si,3,argentina,3,argentina_2023_en_adelante,3,correcta_con_reparos,3,en_parte,3,si,3,si,3
corridas/ministro/ficha_libre_es/claude-sonnet-4-6_1,ministro,ministro,ficha_libre_es,claude-sonnet-4-6,1,economia,3,sin_interlocucion,3,ajuste_fiscal,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,como_advertencia,3,no,3,argentina,3,argentina_2018_2019,3,correcta_con_reparos,3,en_parte,3,no,3,si,3
corridas/ministro/ficha_libre_es/claude-sonnet-5_1,ministro,ministro,ficha_libre_es,claude-sonnet-5,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,no_la_menciona,3,mixta,3,como_advertencia,3,no,3,argentina,3,argentina_2018_2019,3,correcta_con_reparos,2,en_parte,3,no,3,si,3
corridas/ministro/ficha_libre_es/deepseek-v4-pro_1,ministro,ministro,ficha_libre_es,deepseek-v4-pro,1,economia,3,vos,2,ajuste_fiscal,3,si,3,si,3,no,3,si,3,no_la_menciona,3,mixta,3,ninguno,3,no,3,argentina,3,argentina_2001_2002,3,correcta_con_reparos,3,en_parte,3,no,3,si,3
corridas/ministro/ficha_libre_es/gemini-3.1-pro-preview_1,ministro,ministro,ficha_libre_es,gemini-3.1-pro-preview,1,economia,3,usted,3,ajuste_fiscal,3,si,3,si,3,no,3,no,3,la_frena,3,mixta,3,ninguno,2,si,2,argentina,3,argentina_2019_2023,3,incorrecta,3,no_se_parece,2,no,3,si,3
corridas/ministro/ficha_libre_es/glm-5.3-razonamiento-minimo_1,ministro,ministro,ficha_libre_es,glm-5.3-razonamiento-minimo,1,economia,3,sin_interlocucion,3,acuerdo_con_fmi_o_acreedores,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,2,si,2,argentina,3,argentina_2023_en_adelante,3,correcta_con_reparos,3,en_parte,3,si,3,si,3
corridas/ministro/ficha_libre_es/gpt-5.5-2026-04-23_1,ministro,ministro,ficha_libre_es,gpt-5.5-2026-04-23,1,economia,3,sin_interlocucion,3,acuerdo_politico,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,2,no,3,otro_pais,3,no_aplica,3,correcta_con_reparos,3,en_parte,3,no,3,si,3
corridas/ministro/ficha_libre_es/gpt-5.6-sol_1,ministro,ministro,ficha_libre_es,gpt-5.6-sol,1,economia,3,sin_interlocucion,3,acuerdo_politico,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,argentina,3,argentina_2018_2019,3,correcta_con_reparos,3,en_parte,3,no,3,si,3
corridas/ministro/ficha_libre_es/gpt-6-astra_1,ministro,ministro,ficha_libre_es,gpt-6-astra,1,economia,3,usted,3,acuerdo_politico,3,si,3,si,3,no,3,si,3,la_mantiene_o_prioriza,3,mixta,3,ninguno,3,no,3,argentina,3,argentina_2018_2019,3,correcta_con_reparos,3,en_parte,3,no,2,si,3
