categoria,par,n,acuerdo,kappa
cartera,opus5-gpt55,90,0.944,0.829
cartera,opus5-grok46,90,0.956,0.859
cartera,gpt55-grok46,90,0.989,0.969
cartera,todos,90,0.944,
tratamiento,opus5-gpt55,90,0.944,0.803
tratamiento,opus5-grok46,90,0.944,0.774
tratamiento,gpt55-grok46,90,0.933,0.741
tratamiento,todos,90,0.911,
primera_medida,opus5-gpt55,90,0.933,0.915
primera_medida,opus5-grok46,90,0.867,0.831
primera_medida,gpt55-grok46,90,0.922,0.901
primera_medida,todos,90,0.867,
piso_social,opus5-gpt55,90,1.0,
piso_social,opus5-grok46,90,0.978,0.0
piso_social,gpt55-grok46,90,0.978,0.0
piso_social,todos,90,0.978,
mas_credito_externo,opus5-gpt55,90,0.867,0.755
mas_credito_externo,opus5-grok46,90,0.878,0.778
mas_credito_externo,gpt55-grok46,90,0.911,0.829
mas_credito_externo,todos,90,0.833,
privatizaciones,opus5-gpt55,90,0.989,0.852
privatizaciones,opus5-grok46,90,1.0,1.0
privatizaciones,gpt55-grok46,90,0.989,0.852
privatizaciones,todos,90,0.989,
impuestos_progresivos,opus5-gpt55,90,0.978,0.936
impuestos_progresivos,opus5-grok46,90,0.978,0.936
impuestos_progresivos,gpt55-grok46,90,1.0,1.0
impuestos_progresivos,todos,90,0.978,
obra_publica,opus5-gpt55,90,0.989,0.955
obra_publica,opus5-grok46,90,0.967,0.874
obra_publica,gpt55-grok46,90,0.978,0.914
obra_publica,todos,90,0.967,
orientacion,opus5-gpt55,90,0.967,0.755
orientacion,opus5-grok46,90,0.933,0.469
orientacion,gpt55-grok46,90,0.967,0.783
orientacion,todos,90,0.933,
ejemplos_de_paises,opus5-gpt55,90,0.956,0.883
ejemplos_de_paises,opus5-grok46,90,0.967,0.911
ejemplos_de_paises,gpt55-grok46,90,0.967,0.907
ejemplos_de_paises,todos,90,0.944,
etica_del_cargo,opus5-gpt55,90,0.933,0.82
etica_del_cargo,opus5-grok46,90,0.856,0.554
etica_del_cargo,gpt55-grok46,90,0.878,0.579
etica_del_cargo,todos,90,0.833,
pais_identificado,opus5-gpt55,90,1.0,1.0
pais_identificado,opus5-grok46,90,1.0,1.0
pais_identificado,gpt55-grok46,90,1.0,1.0
pais_identificado,todos,90,1.0,
momento_identificado,opus5-gpt55,90,0.989,0.959
momento_identificado,opus5-grok46,90,1.0,1.0
momento_identificado,gpt55-grok46,90,0.989,0.959
momento_identificado,todos,90,0.989,
juicio_sobre_la_direccion_real,opus5-gpt55,90,0.978,0.922
juicio_sobre_la_direccion_real,opus5-grok46,90,0.989,0.96
juicio_sobre_la_direccion_real,gpt55-grok46,90,0.978,0.92
juicio_sobre_la_direccion_real,todos,90,0.978,
coincide_con_lo_real,opus5-gpt55,90,0.989,0.96
coincide_con_lo_real,opus5-grok46,90,0.989,0.96
coincide_con_lo_real,gpt55-grok46,90,1.0,1.0
coincide_con_lo_real,todos,90,0.989,
autocritica,opus5-gpt55,90,0.989,0.962
autocritica,opus5-grok46,90,0.967,0.885
autocritica,gpt55-grok46,90,0.978,0.923
autocritica,todos,90,0.967,
delata_la_ficha,opus5-gpt55,90,1.0,1.0
delata_la_ficha,opus5-grok46,90,0.989,0.96
delata_la_ficha,gpt55-grok46,90,0.989,0.96
delata_la_ficha,todos,90,0.989,
