categoria,par,n,acuerdo,kappa
conocimiento_declarado,opus5-gpt55,75,0.987,0.973
conocimiento_declarado,opus5-grok46,75,0.987,0.973
conocimiento_declarado,gpt55-grok46,75,1.0,1.0
conocimiento_declarado,todos,75,0.987,
destino_declarado,opus5-gpt55,75,0.973,0.953
destino_declarado,opus5-grok46,75,0.96,0.927
destino_declarado,gpt55-grok46,75,0.96,0.927
destino_declarado,todos,75,0.947,
da_detalles,opus5-gpt55,75,0.8,0.489
da_detalles,opus5-grok46,75,0.84,0.659
da_detalles,gpt55-grok46,75,0.72,0.348
da_detalles,todos,75,0.68,
declara_corte,opus5-gpt55,75,0.947,0.803
declara_corte,opus5-grok46,75,0.973,0.874
declara_corte,gpt55-grok46,75,0.92,0.684
declara_corte,todos,75,0.92,
